,mse,rmse,mae,r2
linear_regression,449780695.5710365,21208.03375070486,17844.96790850781,0.12745652249680683
random_forest,17580054.087795522,4192.857508644376,2439.6544919999797,0.9658959095410161
gradient_boosting,15500905.601549352,3937.1189468378207,2257.6821995928544,0.9699293139718833
xgboost,6375622.0,2524.999405940524,1342.1534423828125,0.9876317381858826
